,lastrevid,prediction
1035,1081400175,Stub
1036,1055871409,B
1037,917237234,Stub
1038,1114988749,C
1039,1092778647,Stub
1040,1115721901,Start
1041,1114820940,Start
1042,1096862893,Stub
1043,1054474125,Stub
1044,1022365931,Stub
1045,1077856970,Start
1046,1003790540,Stub
1047,1114126346,GA
1048,1100259796,Stub
1049,1097213735,Start
1050,1098837966,Start
1051,1013781277,Stub
1052,1060696696,Stub
1053,1108228084,Stub
1054,1104678360,Stub
1055,1088561141,Start
1056,1101186643,Stub
1057,1083075073,Start
1058,1112779696,Start
1059,1088342299,Stub
1060,1066047125,Start
1061,1050043776,Stub
1062,1076793254,Start
1063,1108463297,Start
1064,918075025,Stub
1065,1053333514,Stub
1066,1062255717,Stub
1067,1053332359,Stub
1068,1053332274,Stub
1069,1050917887,Stub
1070,951757578,Start
1071,1108677667,Stub
1072,1026369404,Stub
1073,1066098405,Stub
1074,1115090605,Stub
1075,1105203937,FA
1076,1021835192,Stub
1077,1109114806,Stub
1078,1099231025,Stub
1079,1053333064,Stub
1080,861250146,Stub
1081,1105869651,FA
1082,1067927039,Start
1083,1069455389,Stub
1084,1091158074,GA
1085,1021128901,Stub
1086,1080421208,C
1087,1032468586,Stub
1088,1080903489,Start
1089,1032854364,Stub
1090,1059652996,Start
1091,1042900537,Stub
1092,1099827364,Stub
1093,1105613739,Start
1094,1096057884,Start
1095,956640760,Stub
1096,1081391171,Start
1097,1040979617,Stub
1098,1017380720,Stub
1099,1038438954,Stub
1100,1091156761,C
1101,1103261297,Start
1102,1089496637,Start
1103,1046251467,Start
1104,1088693789,Start
1105,1080578027,Start
1106,1092395127,GA
1107,1106363571,Stub
1108,1109177249,C
1109,1059573671,Stub
1110,1059573770,Stub
1111,1059573024,Stub
1112,1094852239,Stub
1113,1107109489,Stub
1114,1109114751,Start
1115,1059572876,Stub
1116,1096672232,Stub
1117,1059582440,Start
1118,1059572637,Stub
1119,1099980718,C
1120,1059563159,Stub
1121,1059567048,Stub
1122,1097718042,Start
1123,1059276168,Start
1124,1079121769,Stub
1125,1059566416,Stub
1126,1059574324,Stub
1127,1059582575,Stub
1128,1107113292,Start
1129,1111929288,Stub
1130,1081916038,Stub
1131,1059565834,Stub
1132,1108028340,GA
1133,1068185468,Stub
1134,1067944733,Start
1135,1059582752,Start
1136,1059582941,Stub
1137,1064744142,Stub
1138,1094819140,Stub
1139,1114970454,Stub
1140,1081234427,Stub
1141,1083376451,Stub
1142,1041211681,Stub
1143,1102345166,Stub
1144,1009662257,Stub
1145,1108440685,Start
1146,1040317165,Start
1147,948427004,Stub
1148,1112559227,Start
1149,1017007525,Start
1150,1098691243,Start
1151,1108720863,Start
1152,1015516439,Stub
1153,1108422427,Stub
1154,1112931112,Start
1155,1067488532,Start
1156,1098278415,Stub
1157,1021209755,Stub
1158,1115394556,Stub
1159,1021211954,C
1160,1021209594,Stub
1161,1021211934,C
1162,1051804573,C
1163,1021210005,Stub
1164,1097564213,Start
1165,1092436663,GA
1166,1081053284,Stub
1167,973826987,Start
1168,1069455161,Start
1169,1084646808,C
1170,1093958730,Stub
1171,1101613422,Stub
1172,1101613548,Stub
1173,1065001801,Start
1174,1093959761,Start
1175,1059495714,Stub
1176,1112157049,GA
1177,1113784938,GA
1178,1070323425,C
1179,1090255799,C
1180,1113661673,Start
1181,1112811274,Stub
1182,1033150087,C
1183,988829581,Stub
1184,1115556145,C
1185,1100414331,Stub
1186,1042724644,Stub
1187,1062856588,Stub
1188,1036618742,Stub
1189,1100448797,Stub
1190,1112094658,Stub
1191,1106463141,Stub
1192,1054942760,Stub
1193,1010288821,Stub
1194,1050732839,Stub
1195,1115564327,Start
1196,1111863464,Start
1197,952741451,Stub
1198,1096370089,Start
1199,1108077983,Stub
1200,1106278873,C
1201,872461806,Stub
1202,1077898049,Stub
1203,872513852,Stub
1204,1115564144,C
1205,1085015143,Stub
1206,1100566547,Start
1207,1010289028,Stub
1208,1112094593,Stub
1209,1115480119,Start
1210,1063051282,Start
1211,1061888618,Stub
1212,1115021687,Stub
1213,1109042122,Start
1214,1107215667,Start
1215,1060990009,Start
1216,1098030047,Start
1217,1097538961,Stub
1218,1097131738,Start
1219,1097539409,Start
1220,1096936718,Start
1221,1069288880,Stub
1222,1094177814,Stub
1223,1111860853,Start
1224,1115156426,Start
1225,1085403808,Stub
1226,1037350216,Stub
1227,1103478298,Stub
1228,1037542204,Stub
1229,1087840742,Start
1230,1061889467,Stub
1231,1097565855,C
1232,1112783373,C
1233,1095852077,Start
1234,1095758707,Stub
1235,1097570287,Stub
1236,1038273100,Stub
1237,1115021831,Start
1238,1060973836,Stub
1239,1037492111,Stub
1240,1097589388,Start
1241,1111776342,Start
1242,1103181135,Start
1243,1110097739,C
1244,1036631728,Start
1245,1090166891,Start
1246,1088424535,Stub
1247,1106626625,Start
1248,1097579028,C
1249,1077893937,Stub
1250,1049163977,Stub
1251,1115056871,GA
1252,1108033983,Start
1253,1115707992,Start
1254,1051093031,Stub
1255,1037353335,Stub
1256,1101221172,Stub
1257,1108666802,Start
1258,1111424266,C
1259,1063237992,Start
1260,1061889202,Stub
1261,1109014330,Start
1262,1115090404,Start
1263,1084670911,Start
1264,1062948637,Stub
1265,1076225732,Stub
1266,1069138774,Start
1267,1108584301,C
1268,1108500041,Stub
1269,1037355246,Stub
1270,986980123,Start
1271,1083220118,Start
1272,1037344949,Stub
1273,1097606858,Stub
1274,1114844859,C
1275,1061888273,Stub
1276,1030957748,Start
1277,1097609170,Start
1278,1040302707,Start
1279,1115152029,Start
1280,1060171802,Start
1281,1037392606,Stub
1282,1073813699,Start
1283,1068434440,Start
1284,1084819799,Stub
1285,1096045044,Start
1286,1061890038,Stub
1287,1084348581,Stub
1288,1097635165,Start
1289,1104248309,Stub
1290,1011248294,Start
1291,1037354612,Stub
1292,1103628118,Stub
1293,1089081472,C
1294,1037489055,Stub
1295,1069290613,Stub
1296,1037357324,Stub
1297,1104834588,C
1298,988502241,Stub
1299,1115103114,Start
1300,1101140615,Stub
1301,1061888375,Stub
1302,1097644966,Start
1303,1110011348,FA
1304,1037723664,Start
1305,1083240431,Stub
1306,1099564364,Stub
1307,1107852480,Stub
1308,1104908488,C
1309,1032240920,Stub
1310,1098122834,Start
1311,1088725993,Stub
1312,1012185591,Stub
1313,1111020487,Start
1314,1087063772,Stub
1315,1098124330,Stub
1316,1089000402,Stub
1317,1104834600,Start
1318,1091117036,Start
1319,1069156229,Start
1320,1113714301,C
1321,1110442663,Stub
1322,1109585707,Stub
1323,1098426482,Stub
1324,1093469846,Stub
1325,1098142521,Stub
1326,1093469869,Stub
1327,1115014530,Start
1328,1098143608,GA
1329,1100266370,Stub
